Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
RGN	"RC, SMP30"	ENSG00000130988	Regucalcin	Q15493	X	47078355-47093314	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.21e-2)"	0.60	"Not detected"	0.14	0.73	0.40	7.0
RGP1	KIAA0258	ENSG00000107185	"RGP1 homolog, RAB6A GEF complex partner 1"	Q92546	9	35749287-35758585	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.10e-1)"	0.22	0.37	0.05	0.34	0.12	8.5
RGPD2	"RANBP2L2, RGP2"	ENSG00000185304	"RANBP2 like and GRIP domain containing 2"	P0DJD1	2	87755960-87825796	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"		0.55	0.91	0.26	0.81	0.41	1.3
RGPD5	"BS-63, DKFZp686I1842, RGP5"	ENSG00000015568	"RANBP2 like and GRIP domain containing 5"	Q99666	2	109792758-109857705	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.10e-2)"	0.36	0.44	0.10	0.59	0.31	5.2
RGPD6	RGP6	ENSG00000183054	"RANBP2 like and GRIP domain containing 6"	Q99666	2	110513802-110610840	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.94e-2)"	0.34	0.45	0.09	0.97	"Not detected"	9.4
RGPD8	"RanBP2alpha, RANBP2L1"	ENSG00000169629	"RANBP2 like and GRIP domain containing 8"	O14715	2	112368369-112434488	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.10e-2)"	0.50	0.45	0.10	0.82	0.28	3.0
RGS1	"1R20, BL34, IER1, IR20"	ENSG00000090104	"Regulator of G protein signaling 1"	Q08116	1	192575763-192580024	"Predicted intracellular proteins"		"GTPase activation, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.68e-1)"	0.40	0.76	0.23	0.72	0.93	18.6
RGS10		ENSG00000148908	"Regulator of G protein signaling 10"	O43665	10	119499817-119542719	"Predicted intracellular proteins"		"GTPase activation, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.76e-2)"	0.39	0.24	0.23	0.53	0.86	37.3
RGS11		ENSG00000076344	"Regulator of G protein signaling 11"	O94810	16	268301-275980	"Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.65	"Not detected"	0.16	0.78	0.17	4.1
RGS12		ENSG00000159788	"Regulator of G protein signaling 12"	O14924	4	3293021-3439913	"Plasma proteins, Predicted intracellular proteins"	Transcription	"GTPase activation, Repressor, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.07e-2)"	0.36	0.71	0.29	0.47	0.35	8.3
RGS13		ENSG00000127074	"Regulator of G protein signaling 13"	O14921	1	192636138-192660311	"Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.88	0.99	"Not detected"	0.94	0.86	1.0
RGS14		ENSG00000169220	"Regulator of G protein signaling 14"	O43566	5	177357924-177372596	"Predicted intracellular proteins"	"Cell cycle, Cell division"	"GTPase activation, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.36e-2)"	0.72	0.24	0.53	0.54	0.58	2.2
RGS16	"A28-RGS14, RGS-r"	ENSG00000143333	"Regulator of G protein signaling 16"	O15492	1	182598623-182604389	"Predicted intracellular proteins"		"GTPase activation, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.92e-1)"	0.49	0.64	0.41	0.58	0.69	3.2
RGS18	RGS13	ENSG00000150681	"Regulator of G protein signaling 18"	Q9NS28	1	192158462-192185815	"Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"		0.70	0.63	0.36	0.88	0.94	1.0
RGS19	"GAIP, RGSGAIP"	ENSG00000171700	"Regulator of G protein signaling 19"	P49795	20	64073181-64079988	"Predicted intracellular proteins"	Autophagy	"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.48e-3)"	0.55	0.24	0.13	0.64	0.74	4.9
RGS2	G0S8	ENSG00000116741	"Regulator of G protein signaling 2"	P41220	1	192809039-192812275	"Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Translation regulation"	"GTPase activation, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.25e-2)"	0.27	0.55	0.14	0.52	0.45	210.3
RGS22	"CT145, DKFZP434I092, PRTD-NY2"	ENSG00000132554	"Regulator of G protein signaling 22"	Q8NE09	8	99960936-100131268	"Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.85e-2)"	0.84	"Not detected"	0.32	0.88	0.65	2.8
RGS3	"C2PA, FLJ20370, PDZ-RGS3"	ENSG00000138835	"Regulator of G protein signaling 3"	P49796	9	113444731-113597743	"Plasma proteins, Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.19e-1)"	0.37	0.45	0.16	0.53	0.54	19.0
RGS4	SCZD9	ENSG00000117152	"Regulator of G protein signaling 4"	P49798	1	163068775-163076802	"Disease related genes, Predicted intracellular proteins"		"Signal transduction inhibitor"	Schizophrenia	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.86e-2)"	0.70	"Not detected"	0.33	0.84	0.54	7.5
RGS5		ENSG00000143248	"Regulator of G protein signaling 5"	O15539	1	163111121-163321791	"Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.52e-1)"	0.28	"Not detected"	0.08	0.76	0.65	71.4
RGS6		ENSG00000182732	"Regulator of G protein signaling 6"	P49758	14	71932429-72566530	"Predicted intracellular proteins"		"GTPase activation, Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.48e-2)"	0.61	0.91	0.23	0.87	0.32	1.4
RGS7BP	R7BP	ENSG00000186479	"Regulator of G protein signaling 7 binding protein"	Q6MZT1	5	64506015-64612319	"Predicted intracellular proteins"		"Signal transduction inhibitor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"		0.72	"Not detected"	0.25	0.86	0.33	2.2
RGS9	"MGC111763, MGC26458, PERRS, RGS9L"	ENSG00000108370	"Regulator of G protein signaling 9"	O75916	17	65100812-65227703	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Sensory transduction, Vision"	"Signal transduction inhibitor"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.74	0.80	0.56	0.69	0.59	1.6
RHBDD1	DKFZp547E052	ENSG00000144468	"Rhomboid domain containing 1"	Q8TEB9	2	226835581-226999215	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Apoptosis, Differentiation, Spermatogenesis"	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.08e-1)"	0.32	0.20	0.07	0.53	0.19	13.1
RHBDD2	"NPD007, RHBDL7"	ENSG00000005486	"Rhomboid domain containing 2"	Q6NTF9	7	75842602-75888926	"Enzymes, Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.20e-2)"	0.32	0.29	0.14	0.38	0.18	35.2
RHBDD3	"C22orf3, PTAG"	ENSG00000100263	"Rhomboid domain containing 3"	Q9Y3P4	22	29259872-29268209	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (5.89e-3)"	0.36	0.50	0.10	0.36	0.13	8.7
RHBDF1	"C16orf8, Dist1, EGFR-RS, FLJ2235, iRhom1"	ENSG00000007384	"Rhomboid 5 homolog 1"	Q96CC6	16	58059-76355	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Protein transport, Transport"	"Growth factor binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.84e-1)"	0.25	"Not detected"	0.06	0.49	0.67	36.9
RHBDF2	"FLJ22341, iRhom2, RHBDL5, RHBDL6, TOC, TOCG"	ENSG00000129667	"Rhomboid 5 homolog 2"	Q6PJF5	17	76470891-76501790	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Protein transport, Transport"	"Growth factor binding"	"Disease variant, Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.64e-1)"	0.37	0.28	0.11	0.57	0.83	7.1
RHBDL1	"RHBDL, RRP"	ENSG00000103269	"Rhomboid like 1"	O75783	16	675671-678268	"Enzymes, Predicted membrane proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.43e-2)"	0.74	"Not detected"	0.19	0.71	0.25	1.0
RHBDL3	"RHBDL4, VRHO"	ENSG00000141314	"Rhomboid like 3"	P58872	17	32265832-32324659	"Enzymes, Predicted membrane proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.57e-1)"	0.77	"Not detected"	0.22	0.86	0.45	1.5
RHEB	RHEB2	ENSG00000106615	"Ras homolog, mTORC1 binding"	Q15382	7	151466012-151520120	"Cancer-related genes, Predicted intracellular proteins"		Hydrolase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.46e-2)"	0.13	0.09	0.07	0.22	0.13	112.3
RHEBL1	"FLJ25797, MGC34869, RHEB2"	ENSG00000167550	"RHEB like 1"	Q8TAI7	12	49064676-49070025	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.12e-2)"	0.65	0.59	0.34	0.78	0.59	1.4
RHEX	"C1orf186, FLJ16052"	ENSG00000263961	"Regulator of hemoglobinization and erythroid cell expansion"	Q6ZWK4	1	206053173-206102449	"Predicted membrane proteins"	"Differentiation, Erythrocyte maturation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.23e-1)"	0.57	0.95	"Not detected"	0.93	0.81	12.4
RHNO1	"C12orf32, HKMT1188, MGC13204, RHINO"	ENSG00000171792	"RAD9-HUS1-RAD1 interacting nuclear orphan 1"	Q9BSD3	12	2876258-2889524	"Predicted intracellular proteins"	"Cell cycle, DNA damage, DNA repair"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.73e-1)"	0.24	0.19	0.10	0.45	"Not detected"	11.2
RHOA	"ARH12, ARHA, Rho12, RHOH12"	ENSG00000067560	"Ras homolog family member A"	P61586	3	49359139-49412998	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"	"Cell cycle, Cell division, Host-virus interaction"	Hydrolase	"Cancer-related genes, Disease variant, Ectodermal dysplasia, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.55e-2)"	0.08	0.14	0.05	0.21	0.26	284.0
RHOB	"ARH6, ARHB, MST081, RHOH6"	ENSG00000143878	"Ras homolog family member B"	P62745	2	20447074-20449440	"Cancer-related genes, Predicted intracellular proteins"	"Angiogenesis, Apoptosis, Cell adhesion, Differentiation, Protein transport, Transport"	"Developmental protein"	"Cancer-related genes, Tumor suppressor"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.84e-2)"	0.17	0.72	0.06	0.31	0.44	358.4
RHOBTB1	KIAA0740	ENSG00000072422	"Rho related BTB domain containing 1"	O94844	10	60869438-61001440	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.29e-2)"	0.54	"Not detected"	0.11	0.67	0.43	14.1
RHOBTB2	"DBC2, KIAA0717"	ENSG00000008853	"Rho related BTB domain containing 2"	Q9BYZ6	8	22987417-23020509	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Epilepsy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.02e-1)"	0.42	0.50	0.14	0.67	0.32	7.5
RHOBTB3	KIAA0878	ENSG00000164292	"Rho related BTB domain containing 3"	O94955	5	95713522-95824383	"Predicted intracellular proteins"	Transport	Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.33e-2)"	0.32	0.75	0.10	0.37	0.32	12.7
RHOC	"ARH9, ARHC"	ENSG00000155366	"Ras homolog family member C"	P08134	1	112701127-112707434	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.09e-3)"	0.20	0.42	0.08	0.35	0.67	246.2
RHOD	"ARHD, Rho, RhoHP1"	ENSG00000173156	"Ras homolog family member D"	O00212	11	67056847-67072017	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.53e-2)"	0.51	"Not detected"	0.63	0.57	0.80	12.1
RHOF	"ARHF, FLJ20247, RIF"	ENSG00000139725	"Ras homolog family member F, filopodia associated"	Q9HBH0	12	121777754-121803403	"Plasma proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.54e-1)"	0.37	0.15	0.13	0.58	0.53	12.8
RHOG	"ARHG, MGC125835, MGC125836"	ENSG00000177105	"Ras homolog family member G"	P84095	11	3826978-3840959	"Plasma proteins, Predicted intracellular proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.12e-2)"	0.34	0.24	0.10	0.46	0.61	45.1
RHOH	"ARHH, TTF"	ENSG00000168421	"Ras homolog family member H"	Q15669	4	40191011-40246967	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.01e-2)"	0.74	0.30	0.15	0.81	0.90	1.9
RHOJ	"ARHJ, FLJ14445, RASL7B, TCL"	ENSG00000126785	"Ras homolog family member J"	Q9H4E5	14	63204114-63293508	"Predicted intracellular proteins"	Angiogenesis			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.04e-2)"	0.31	"Not detected"	0.16	0.81	0.69	27.0
RHOQ	"ARHQ, RASL7A, TC10"	ENSG00000119729	"Ras homolog family member Q"	P17081	2	46541806-46584688	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.03e-2)"	0.29	0.60	0.05	0.44	0.33	51.4
RHOT1	"ARHT1, FLJ11040, MIRO-1, MIRO1"	ENSG00000126858	"Ras homolog family member T1"	Q8IXI2	17	32142454-32253374	"Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.82e-2)"	0.25	0.28	0.06	0.32	0.09	15.8
RHOT2	"ARHT2, C16orf39, MIRO-2, MIRO2"	ENSG00000140983	"Ras homolog family member T2"	Q8IXI1	16	668100-674174	"Predicted intracellular proteins, Predicted membrane proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.02e-1)"	0.17	0.11	0.12	0.40	0.11	31.7
RHOU	"ARHU, CDC42L1, DJ646B12.2, fJ646B12.2, FLJ10616, hG28K, WRCH-1, WRCH1"	ENSG00000116574	"Ras homolog family member U"	Q7L0Q8	1	228735479-228746664	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.51e-1)"	0.37	"Not detected"	0.15	0.51	0.61	13.4
